GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000099672,6.64,0.251,0.818,5.0,0.197,0.137
ENSDARG00000099674,0.0327,0.0268,0.187,0.0101,0.0159,0.0392
ENSDARG00000099675,4.23,0.12,0.424,3.38,0.0916,0.0741
ENSDARG00000099677,0.897,0.0714,0.614,0.26,0.0309,0.103
ENSDARG00000099678,0.503,0.146,0.838,0.376,0.102,0.144
ENSDARG00000099679,2.38,0.191,0.353,0.821,0.0472,0.0652
ENSDARG00000099684,0.0892,0.24,0.413,0.0778,0.188,0.0772
ENSDARG00000099685,0.205,0.0114,0.466,0.0461,0.00779,0.0925
ENSDARG00000099690,0.0175,0.0264,0.168,0.0107,0.0402,0.041
ENSDARG00000099692,8.38,0.306,0.45,2.88,0.0808,0.0832
ENSDARG00000099693,0.00465,0.161,0.917,0.00585,0.199,0.143
ENSDARG00000099694,2.14,0.339,0.399,0.818,0.15,0.0738
ENSDARG00000099695,0.074,0.0317,0.523,0.065,0.0721,0.114
ENSDARG00000099705,2.39,0.274,0.405,1.15,0.156,0.0739
ENSDARG00000099710,0.273,0.114,0.419,0.0984,0.0541,0.0752
ENSDARG00000099715,0.18,0.18,0.613,0.176,0.167,0.106
ENSDARG00000099717,0.04,0.0196,0.165,0.00878,0.00904,0.0356
ENSDARG00000099719,0.284,0.0155,0.736,0.112,0.0188,0.149
ENSDARG00000099720,1.25,0.121,1.07,1.15,0.16,0.178
ENSDARG00000099722,6.46,0.346,0.387,3.14,0.183,0.0744
ENSDARG00000099724,1.71,0.155,0.887,0.967,0.0963,0.146
ENSDARG00000099727,0.0909,0.0109,0.313,0.0236,0.00881,0.0687
ENSDARG00000099728,0.071,0.023,0.43,0.0428,0.0391,0.0936
ENSDARG00000099729,1.03,0.0207,0.848,0.332,0.015,0.15
ENSDARG00000099730,15.8,0.407,1.05,7.91,0.158,0.168
ENSDARG00000099731,2.25,0.341,0.676,0.926,0.151,0.121
ENSDARG00000099732,0.187,0.0193,0.417,0.0479,0.012,0.08
ENSDARG00000099733,4.08,0.155,0.289,1.04,0.0294,0.054
ENSDARG00000099738,0.0153,0.0463,0.181,0.0141,0.0898,0.048
ENSDARG00000099739,12.5,0.312,0.505,6.51,0.166,0.0953
ENSDARG00000099741,13.1,0.628,0.378,2.56,0.0878,0.069
ENSDARG00000099742,6.54,0.353,0.824,3.04,0.171,0.148
ENSDARG00000099743,6.91,0.479,0.533,2.9,0.211,0.102
ENSDARG00000099744,2.71,0.06,1.37,1.83,0.0777,0.231
ENSDARG00000099745,7.35,0.416,0.514,2.39,0.0986,0.0956
ENSDARG00000099746,3.45,0.186,0.651,1.31,0.087,0.111
ENSDARG00000099747,0.696,0.181,0.585,0.586,0.148,0.0986
ENSDARG00000099749,13.2,0.484,0.503,3.19,0.0766,0.0901
ENSDARG00000099752,0.467,0.245,0.715,0.42,0.246,0.117
ENSDARG00000099753,2.5,0.443,0.615,1.24,0.232,0.114
ENSDARG00000099755,3.95,0.297,0.523,2.78,0.215,0.0957
ENSDARG00000099757,0.37,0.351,0.569,0.143,0.0496,0.1
ENSDARG00000099758,0.99,0.0289,0.542,0.227,0.0144,0.0961
ENSDARG00000099761,0.634,0.117,2.23,0.599,0.103,0.387
ENSDARG00000099766,94.5,0.25,0.284,50.4,0.117,0.0558
ENSDARG00000099767,0.0884,0.0609,0.429,0.0455,0.0127,0.0772
ENSDARG00000099768,3.83,0.221,0.449,2.04,0.124,0.0823
ENSDARG00000099771,3.79,0.38,0.164,0.398,0.0267,0.0337
ENSDARG00000099774,4.17,0.259,0.349,1.22,0.0885,0.0651
ENSDARG00000099775,0.0315,0.0424,0.211,0.0213,0.0503,0.0476
ENSDARG00000099776,10.3,0.0754,1.24,4.65,0.0537,0.198
ENSDARG00000099779,0.589,0.147,0.49,0.287,0.0545,0.0858
ENSDARG00000099786,54.3,0.538,0.188,18.7,0.195,0.0402
ENSDARG00000099787,2.84,0.548,0.468,1.06,0.171,0.0852
ENSDARG00000099789,0.105,0.17,1.07,0.102,0.146,0.176
ENSDARG00000099793,0.249,0.0164,0.682,0.122,0.0331,0.136
ENSDARG00000099796,0.0524,0.107,0.278,0.042,0.12,0.0533
ENSDARG00000099798,16.0,0.408,0.535,6.28,0.171,0.102
ENSDARG00000099799,1.81,0.181,0.737,0.948,0.125,0.121
ENSDARG00000099801,0.0272,0.366,0.386,0.0235,0.036,0.0685
ENSDARG00000099802,0.232,0.0531,0.208,0.0453,0.0161,0.0404
ENSDARG00000099803,0.286,0.102,0.527,0.22,0.0706,0.0903
ENSDARG00000099804,0.114,0.017,0.366,0.0269,0.0101,0.0709
ENSDARG00000099812,0.235,0.0716,0.56,0.186,0.0776,0.1
ENSDARG00000099814,2.08,0.173,0.349,0.636,0.0378,0.0642
ENSDARG00000099817,6.02,0.935,0.505,2.31,0.319,0.0956
ENSDARG00000099819,0.335,0.0136,0.57,0.127,0.0183,0.116
ENSDARG00000099824,0.0874,0.146,0.307,0.0402,0.0732,0.0593
ENSDARG00000099825,0.0563,0.0379,0.208,0.0241,0.0297,0.0429
ENSDARG00000099833,6.07,0.441,0.574,3.25,0.239,0.11
ENSDARG00000099837,1.57,0.378,0.545,0.634,0.163,0.102
ENSDARG00000099839,0.509,0.0992,0.383,0.222,0.0315,0.0683
ENSDARG00000099840,1.95,0.335,0.433,0.773,0.144,0.0808
ENSDARG00000099841,0.0853,0.25,0.401,0.0748,0.239,0.0711
ENSDARG00000099843,0.144,0.0113,0.202,0.0188,0.0048,0.0422
ENSDARG00000099844,0.115,0.0116,0.454,0.0294,0.00894,0.0917
ENSDARG00000099845,0.825,0.286,0.562,0.34,0.129,0.103
ENSDARG00000099846,3.81,0.374,0.49,1.7,0.176,0.0944
ENSDARG00000099849,0.824,0.0996,0.872,0.69,0.115,0.144
ENSDARG00000099850,0.285,0.132,0.715,0.297,0.176,0.125
ENSDARG00000099851,0.447,0.192,0.34,0.155,0.0463,0.0631
ENSDARG00000099860,1.71,0.0744,1.66,1.81,0.162,0.31
ENSDARG00000099864,0.121,0.23,0.4,0.0769,0.164,0.0712
ENSDARG00000099865,20.6,0.0851,0.331,5.92,0.01,0.0611
ENSDARG00000099867,3.05,0.138,1.09,1.33,0.0762,0.172
ENSDARG00000099870,0.0541,0.0167,0.41,0.0275,0.0352,0.0892
ENSDARG00000099871,0.0429,0.0145,0.176,0.00803,0.00686,0.0382
ENSDARG00000099874,0.112,0.0134,0.473,0.0389,0.0154,0.0983
ENSDARG00000099877,0.143,0.0258,0.411,0.0622,0.0256,0.0841
ENSDARG00000099880,0.324,0.0752,0.537,0.116,0.0382,0.093
ENSDARG00000099885,1.31,0.376,0.563,0.472,0.0964,0.0998
ENSDARG00000099888,0.415,0.22,0.747,0.401,0.224,0.124
ENSDARG00000099889,0.354,0.02,0.515,0.0889,0.0121,0.0956
ENSDARG00000099890,0.643,0.337,0.58,0.341,0.175,0.113
ENSDARG00000099891,0.1,0.0463,0.285,0.0277,0.0202,0.054
ENSDARG00000099898,0.0274,0.129,0.49,0.0267,0.132,0.087
ENSDARG00000099899,0.014,0.026,0.136,0.00965,0.043,0.0366
ENSDARG00000099900,1.82,0.26,0.33,0.637,0.0695,0.0634
ENSDARG00000099902,0.22,0.0207,0.371,0.0443,0.00963,0.0699
ENSDARG00000099903,0.0511,0.0472,0.2,0.0137,0.0184,0.0396
ENSDARG00000099908,1.39,0.0693,0.34,0.513,0.0378,0.0617
ENSDARG00000099911,4.02,0.301,0.859,2.07,0.158,0.151
ENSDARG00000099913,1.49,0.151,0.306,0.4,0.0236,0.0565
ENSDARG00000099917,2.11,0.26,0.894,0.988,0.128,0.159
ENSDARG00000099918,6.43,0.378,0.714,2.94,0.137,0.131
ENSDARG00000099920,0.55,0.19,1.07,0.365,0.118,0.188
ENSDARG00000099921,6.73,0.415,0.555,2.88,0.186,0.104
ENSDARG00000099923,1.74,0.107,0.624,1.17,0.0861,0.102
ENSDARG00000099927,0.393,0.0593,0.434,0.138,0.0318,0.0769
ENSDARG00000099930,0.156,0.0749,0.408,0.108,0.0738,0.0726
ENSDARG00000099931,0.4,0.0157,0.708,0.12,0.0116,0.132
ENSDARG00000099933,0.0679,0.0397,0.482,0.0576,0.0759,0.103
ENSDARG00000099936,1.7,0.278,0.874,1.37,0.21,0.153
ENSDARG00000099943,13.7,0.267,0.206,3.49,0.0791,0.0408
ENSDARG00000099945,0.324,0.273,0.288,0.114,0.105,0.0564
ENSDARG00000099946,0.692,0.0983,0.404,0.322,0.0559,0.0699
ENSDARG00000099950,0.0617,0.467,0.267,0.041,0.0507,0.0524
ENSDARG00000099953,0.0375,0.222,0.251,0.0303,0.208,0.047
ENSDARG00000099954,0.551,0.141,0.443,0.182,0.0274,0.0771
ENSDARG00000099959,3.64,0.0357,1.65,1.96,0.034,0.272
ENSDARG00000099960,1.34,0.0963,0.688,0.688,0.0309,0.114
ENSDARG00000099961,0.106,0.0108,0.428,0.0273,0.0093,0.0905
ENSDARG00000099965,0.0458,0.00745,0.19,0.00756,0.00466,0.045
ENSDARG00000099966,1.25,0.0389,0.311,0.62,0.0118,0.0583
ENSDARG00000099969,0.609,0.295,0.827,0.291,0.081,0.138
ENSDARG00000099972,3.85,0.133,0.288,1.07,0.0218,0.0538
ENSDARG00000099973,3.04,0.135,0.419,1.21,0.0419,0.0747
ENSDARG00000099974,2.51,0.0344,1.59,1.55,0.0449,0.281
ENSDARG00000099979,0.0458,0.0103,0.235,0.0111,0.00791,0.0538
ENSDARG00000099980,0.122,0.127,0.246,0.0436,0.0562,0.0467
ENSDARG00000099981,0.118,0.0408,0.356,0.0607,0.00708,0.0656
ENSDARG00000099982,0.741,0.142,0.572,0.427,0.0914,0.0964
ENSDARG00000099985,0.15,0.0619,0.356,0.054,0.034,0.0641
ENSDARG00000099986,0.131,0.0741,0.588,0.0827,0.024,0.1
ENSDARG00000099989,0.282,0.0555,0.397,0.0872,0.028,0.0708
ENSDARG00000099995,0.229,0.0348,0.377,0.0509,0.0141,0.0692
ENSDARG00000099996,4.51,0.177,0.458,1.94,0.0598,0.0812
ENSDARG00000099997,28.5,1.14,0.473,9.14,0.334,0.0937
ENSDARG00000099999,10.3,0.243,0.508,3.22,0.0874,0.0906
ENSDARG00000100001,0.618,0.213,1.03,0.383,0.128,0.184
ENSDARG00000100002,0.428,0.108,0.506,0.164,0.0565,0.0876
ENSDARG00000100003,11.7,0.0729,0.399,5.68,0.0242,0.0715
ENSDARG00000100006,0.0639,0.15,0.234,0.0423,0.12,0.0452
ENSDARG00000100007,0.135,0.0213,0.388,0.0363,0.0127,0.0736
ENSDARG00000100011,0.67,0.141,0.669,0.351,0.054,0.11
ENSDARG00000100013,1.28,0.134,0.723,1.27,0.116,0.12
ENSDARG00000100019,1.87,0.086,1.31,2.1,0.0739,0.209
ENSDARG00000100020,6.06,0.0785,0.474,1.63,0.0299,0.0831
ENSDARG00000100021,0.154,0.0179,0.597,0.0646,0.0215,0.12
ENSDARG00000100024,1.66e-08,0.0304,0.652,2.22e-08,0.0243,0.109
ENSDARG00000100025,3.4,0.42,0.506,1.56,0.203,0.0987
ENSDARG00000100028,2.87,0.204,0.662,1.86,0.0792,0.117
ENSDARG00000100031,0.856,0.0681,0.383,0.326,0.014,0.0694
ENSDARG00000100032,0.0254,0.064,0.262,0.0252,0.125,0.0628
ENSDARG00000100043,0.34,0.137,0.267,0.13,0.0675,0.0497
ENSDARG00000100044,0.241,0.104,0.878,0.147,0.0652,0.151
ENSDARG00000100045,0.0264,0.175,0.266,0.0223,0.147,0.0504
ENSDARG00000100046,0.0617,0.203,0.683,0.0669,0.182,0.117
ENSDARG00000100047,0.274,0.0493,0.312,0.174,0.0176,0.0588
ENSDARG00000100052,0.395,0.0207,0.873,0.146,0.0205,0.161
ENSDARG00000100053,0.834,0.192,0.634,0.402,0.0688,0.108
ENSDARG00000100055,0.203,0.0131,0.503,0.0511,0.00918,0.0989
ENSDARG00000100057,3.18,0.301,0.391,1.05,0.0765,0.0735
ENSDARG00000100060,6.25,0.402,0.557,2.68,0.13,0.109
ENSDARG00000100061,0.0417,0.11,0.202,0.0322,0.115,0.0408
ENSDARG00000100072,2.46,0.132,0.59,2.34,0.113,0.0984
ENSDARG00000100075,2.5,0.433,0.894,1.57,0.244,0.147
ENSDARG00000100081,0.0186,0.157,0.289,0.0179,0.142,0.0531
ENSDARG00000100082,7.23,0.29,0.613,4.56,0.182,0.115
ENSDARG00000100083,9.27,0.329,0.353,1.87,0.0429,0.0651
ENSDARG00000100084,3.94,0.487,0.57,1.98,0.254,0.106
ENSDARG00000100086,0.0337,0.0766,0.321,0.0365,0.151,0.0722
ENSDARG00000100087,0.172,0.0489,0.543,0.0565,0.0253,0.0922
ENSDARG00000100088,2.02,0.384,0.477,0.517,0.0604,0.0846
ENSDARG00000100089,0.419,0.321,0.637,0.302,0.256,0.108
ENSDARG00000100093,0.175,0.0131,0.45,0.0409,0.00867,0.0884
ENSDARG00000100095,3.35,0.0354,0.947,1.11,0.022,0.157
ENSDARG00000100097,0.256,0.148,0.509,0.173,0.0912,0.0878
ENSDARG00000100104,0.103,0.0632,0.341,0.0327,0.0288,0.0618
ENSDARG00000100105,0.176,0.141,0.785,0.185,0.221,0.151
ENSDARG00000100106,0.208,0.212,0.828,0.226,0.308,0.148
ENSDARG00000100108,1.4,0.0913,0.555,1.35,0.0761,0.094
ENSDARG00000100112,1.83,0.281,0.912,0.982,0.15,0.162
ENSDARG00000100113,0.0494,0.193,0.39,0.0464,0.167,0.0694
ENSDARG00000100114,1.24,0.0386,0.449,0.785,0.0132,0.0815
ENSDARG00000100115,0.0583,0.302,0.17,0.0298,0.0775,0.0354
ENSDARG00000100116,13.9,0.223,0.33,3.92,0.072,0.0618
ENSDARG00000100119,1.62,0.0403,0.664,0.534,0.0258,0.114
ENSDARG00000100121,0.929,0.165,0.673,0.343,0.0731,0.114
ENSDARG00000100127,0.524,0.313,0.44,0.347,0.212,0.0816
ENSDARG00000100128,0.219,0.0327,0.464,0.0736,0.0203,0.0853
ENSDARG00000100129,3.15,0.0615,0.213,1.46,0.0216,0.0415
ENSDARG00000100131,0.0759,0.118,0.507,0.0531,0.0541,0.0877
ENSDARG00000100133,1.63,0.0183,0.99,0.56,0.0145,0.178
ENSDARG00000100136,0.608,0.179,0.237,0.306,0.082,0.0461
ENSDARG00000100139,0.792,0.277,1.32,0.851,0.406,0.23
ENSDARG00000100142,1.87,0.297,0.647,0.757,0.132,0.118
ENSDARG00000100143,3.11,0.128,0.46,2.53,0.0992,0.0808
ENSDARG00000100145,0.339,0.0192,0.837,0.15,0.0274,0.162
ENSDARG00000100148,0.15,0.152,0.744,0.101,0.107,0.128
ENSDARG00000100149,2.35,0.095,0.38,2.15,0.0813,0.068
ENSDARG00000100150,1.06,0.253,0.359,0.252,0.0382,0.0666
ENSDARG00000100151,1.18,0.199,0.295,0.59,0.103,0.0564
ENSDARG00000100152,0.11,0.0146,0.378,0.0248,0.00871,0.0738
ENSDARG00000100157,0.773,0.0646,0.399,0.22,0.0261,0.0707
ENSDARG00000100159,0.0431,0.042,0.193,0.0178,0.0297,0.0402
ENSDARG00000100162,0.669,0.104,0.916,0.69,0.089,0.149
ENSDARG00000100163,0.572,0.191,0.814,0.541,0.167,0.133
ENSDARG00000100164,0.124,0.227,0.256,0.0567,0.114,0.0512
ENSDARG00000100166,0.117,0.0154,0.542,0.0516,0.029,0.113
ENSDARG00000100167,0.0141,0.0232,0.164,0.012,0.058,0.0433
ENSDARG00000100170,6.55,0.324,0.903,3.84,0.179,0.148
ENSDARG00000100179,1.35,0.216,0.425,0.843,0.135,0.0792
ENSDARG00000100181,2.26,0.129,0.395,2.01,0.119,0.0697
ENSDARG00000100185,1.53,0.0982,1.02,1.05,0.0398,0.161
ENSDARG00000100186,1.73,0.381,0.323,0.458,0.079,0.0625
ENSDARG00000100188,0.0565,0.154,1.09,0.0562,0.0324,0.172
ENSDARG00000100190,1.16,0.0479,0.901,0.425,0.0294,0.148
ENSDARG00000100192,1.87,0.535,0.275,0.671,0.203,0.0572
ENSDARG00000100196,1.09,0.425,0.389,0.392,0.163,0.0734
ENSDARG00000100197,0.11,0.368,0.473,0.0869,0.308,0.0821
ENSDARG00000100198,2.84,0.521,0.433,1.32,0.256,0.0853
ENSDARG00000100203,0.254,0.353,0.287,0.14,0.209,0.0564
ENSDARG00000100206,2.15,0.136,0.664,1.91,0.119,0.111
ENSDARG00000100209,2.91,0.0506,0.599,3.31,0.0421,0.102
ENSDARG00000100214,0.197,0.189,0.878,0.157,0.131,0.157
ENSDARG00000100222,17.4,0.406,0.46,9.26,0.212,0.0854
ENSDARG00000100223,4.23,0.118,0.537,1.61,0.0555,0.0923
ENSDARG00000100224,1.78,0.273,0.48,0.928,0.148,0.0889
ENSDARG00000100225,0.317,0.0678,0.414,0.253,0.044,0.0731
ENSDARG00000100227,0.233,0.0377,0.428,0.201,0.0207,0.0777
ENSDARG00000100229,0.194,0.131,0.327,0.0607,0.0502,0.06
ENSDARG00000100231,0.0654,0.0417,0.217,0.0182,0.019,0.0433
ENSDARG00000100232,0.113,0.024,0.228,0.0215,0.00929,0.0453
ENSDARG00000100234,0.0767,0.17,0.197,0.0326,0.0833,0.0386
ENSDARG00000100236,0.272,0.102,0.629,0.181,0.039,0.106
ENSDARG00000100242,1.64,0.139,0.582,1.31,0.11,0.0994
ENSDARG00000100244,0.681,0.0179,0.888,0.229,0.0155,0.161
ENSDARG00000100247,0.149,0.264,0.203,0.108,0.192,0.0426
ENSDARG00000100249,0.08,0.0504,0.379,0.0589,0.0609,0.0722
ENSDARG00000100252,19.8,0.0621,0.236,4.66,0.0202,0.0456
ENSDARG00000100255,0.0957,0.0949,0.589,0.107,0.174,0.118
ENSDARG00000100256,0.0309,0.0414,0.228,0.0186,0.0437,0.0472
ENSDARG00000100257,0.772,0.2,0.986,0.415,0.112,0.167
ENSDARG00000100259,0.219,0.109,1.26,0.228,0.0837,0.217
ENSDARG00000100260,3.82,0.248,0.459,2.92,0.182,0.0874
ENSDARG00000100261,0.128,0.0728,0.694,0.129,0.0545,0.117
ENSDARG00000100262,1.56,0.294,0.862,0.855,0.158,0.158
ENSDARG00000100263,0.122,0.0114,0.344,0.0283,0.00802,0.0714
ENSDARG00000100264,9.51,0.239,0.704,3.34,0.0965,0.121
ENSDARG00000100265,0.24,0.136,0.845,0.26,0.216,0.163
ENSDARG00000100267,0.0937,0.0121,0.437,0.0283,0.0138,0.0913
ENSDARG00000100274,2.19,0.383,0.633,1.48,0.269,0.114
ENSDARG00000100279,1.68e-08,0.0483,0.602,2.27e-08,0.0578,0.102
ENSDARG00000100280,0.0496,0.174,0.263,0.0259,0.0455,0.0504
ENSDARG00000100281,0.00762,0.175,0.371,0.00719,0.0525,0.0655
ENSDARG00000100284,0.15,0.0666,0.446,0.0851,0.0562,0.0804
ENSDARG00000100285,0.00347,0.142,0.495,0.00377,0.0386,0.0859
ENSDARG00000100290,0.0505,0.0399,0.177,0.0128,0.016,0.0357
ENSDARG00000100292,0.142,0.171,0.355,0.0938,0.138,0.0634
ENSDARG00000100294,1.58,0.313,0.553,0.581,0.126,0.101
ENSDARG00000100295,0.333,0.0514,0.516,0.125,0.0347,0.091
ENSDARG00000100296,4.91,0.474,0.72,2.55,0.253,0.133
ENSDARG00000100302,0.0203,0.00956,0.136,0.00491,0.00804,0.0348
ENSDARG00000100304,0.463,0.0877,0.428,0.128,0.0348,0.0763
ENSDARG00000100307,0.0311,0.0214,0.264,0.018,0.0323,0.0602
ENSDARG00000100308,0.129,0.0369,0.301,0.0593,0.0282,0.0586
ENSDARG00000100311,0.0256,0.025,0.221,0.0178,0.0464,0.054
ENSDARG00000100312,0.12,0.0567,0.421,0.0516,0.0381,0.076
ENSDARG00000100313,0.589,0.315,0.754,0.362,0.148,0.127
ENSDARG00000100315,0.203,0.165,0.781,0.217,0.245,0.147
ENSDARG00000100317,8.84,0.16,0.761,7.99,0.13,0.131
ENSDARG00000100322,1.3,0.365,0.338,0.51,0.152,0.0655
ENSDARG00000100324,0.0268,0.031,0.148,0.0123,0.0274,0.0333
ENSDARG00000100329,0.798,0.216,1.02,0.444,0.118,0.181
ENSDARG00000100331,5.49,0.419,0.171,2.82,0.212,0.0379
ENSDARG00000100335,0.298,0.292,0.335,0.121,0.125,0.0656
ENSDARG00000100336,0.0552,0.00983,0.289,0.0121,0.00725,0.063
ENSDARG00000100339,0.156,0.409,0.406,0.115,0.314,0.0734
ENSDARG00000100342,1.23,0.361,0.615,0.653,0.177,0.109
ENSDARG00000100349,2.48,0.167,0.553,1.31,0.075,0.0942
ENSDARG00000100352,0.371,0.119,1.02,0.449,0.228,0.198
ENSDARG00000100353,0.09,0.0184,0.475,0.0398,0.025,0.096
ENSDARG00000100357,2.86,0.302,0.728,1.14,0.0804,0.121
ENSDARG00000100358,0.0915,0.155,0.444,0.0527,0.113,0.0783
ENSDARG00000100359,0.43,0.0733,0.474,0.303,0.0394,0.0826
ENSDARG00000100361,0.85,0.233,0.505,0.61,0.162,0.0947
ENSDARG00000100363,0.654,0.0365,0.293,0.298,0.00551,0.0564
ENSDARG00000100364,0.0212,0.186,0.475,0.0222,0.189,0.0799
ENSDARG00000100366,4.82,0.124,1.19,2.06,0.0663,0.19
ENSDARG00000100371,401.0,0.136,0.3,155.0,0.0574,0.0557
ENSDARG00000100372,3.63,0.187,0.439,1.23,0.0808,0.0788
ENSDARG00000100374,22.2,0.426,0.374,5.08,0.0723,0.07
ENSDARG00000100375,0.256,0.241,0.451,0.217,0.201,0.0805
ENSDARG00000100376,2.1,0.294,0.388,0.521,0.0493,0.0714
ENSDARG00000100381,0.068,0.0702,0.223,0.0267,0.0397,0.0425
ENSDARG00000100385,0.54,0.109,0.638,0.451,0.0859,0.106
ENSDARG00000100387,0.292,0.208,0.475,0.13,0.1,0.0864
ENSDARG00000100392,102.0,0.0548,0.587,45.9,0.0339,0.0996
ENSDARG00000100394,0.614,0.129,0.574,0.451,0.0855,0.0978
ENSDARG00000100396,0.411,0.0635,0.845,0.288,0.0252,0.137
ENSDARG00000100397,1.64,0.39,1.4,1.64,0.467,0.223
ENSDARG00000100398,0.0844,0.0459,0.309,0.0254,0.0219,0.0581
ENSDARG00000100402,1.27,0.228,0.699,1.14,0.213,0.119
ENSDARG00000100406,0.939,0.0237,0.935,0.401,0.0269,0.173
ENSDARG00000100407,3.19,0.236,0.355,0.731,0.0658,0.0653
ENSDARG00000100409,1.46,0.0726,0.33,0.991,0.0395,0.0604
ENSDARG00000100415,1.66e-08,0.162,0.713,2.22e-08,0.203,0.115
ENSDARG00000100419,0.558,0.0466,0.406,0.452,0.0281,0.0745
ENSDARG00000100420,0.373,0.0891,0.709,0.282,0.0498,0.117
ENSDARG00000100421,1.13,0.275,0.609,0.493,0.131,0.109
ENSDARG00000100422,1.15,0.0423,0.846,0.373,0.0231,0.139
ENSDARG00000100424,0.0247,0.0164,0.238,0.0168,0.0432,0.0587
ENSDARG00000100426,0.342,0.138,0.677,0.306,0.154,0.114
ENSDARG00000100427,0.235,0.296,0.405,0.167,0.221,0.0745
ENSDARG00000100429,0.0496,0.0947,0.728,0.0482,0.0609,0.119
ENSDARG00000100434,0.962,0.21,0.986,0.498,0.109,0.179
ENSDARG00000100435,9.07,0.358,0.268,2.98,0.135,0.0514
ENSDARG00000100436,0.128,0.179,0.355,0.0741,0.123,0.0638
ENSDARG00000100439,0.167,0.0267,0.396,0.0837,0.0249,0.0789
ENSDARG00000100440,0.644,0.119,0.478,0.415,0.0648,0.0832
ENSDARG00000100442,0.209,0.0329,0.731,0.0841,0.0265,0.13
ENSDARG00000100446,0.982,0.0412,0.813,0.306,0.0228,0.135
ENSDARG00000100449,0.0402,0.0888,0.341,0.0449,0.165,0.0756
ENSDARG00000100450,0.0176,0.0807,0.248,0.014,0.0411,0.0464
ENSDARG00000100452,37.0,0.152,0.61,10.5,0.0552,0.104
ENSDARG00000100453,8.89,0.421,0.47,3.91,0.2,0.0879
ENSDARG00000100455,8.69,0.352,0.81,5.43,0.217,0.155
ENSDARG00000100456,1.7,0.0491,0.323,0.254,0.013,0.0601
ENSDARG00000100461,0.255,0.0624,0.382,0.0631,0.0225,0.0686
ENSDARG00000100464,0.0531,0.0754,0.195,0.0256,0.0519,0.0386
ENSDARG00000100465,0.051,0.115,0.411,0.0542,0.195,0.086
ENSDARG00000100466,0.0252,0.0118,0.198,0.00681,0.0118,0.0469
ENSDARG00000100467,1.47,0.329,0.522,1.03,0.243,0.0983
ENSDARG00000100468,5.59,0.599,0.487,2.16,0.241,0.095
ENSDARG00000100474,1.14,0.201,0.834,1.17,0.184,0.142
ENSDARG00000100475,0.163,0.115,0.572,0.079,0.0674,0.097
ENSDARG00000100476,0.164,0.0665,0.78,0.182,0.142,0.164
ENSDARG00000100478,0.0463,0.0471,0.368,0.0475,0.0946,0.0812
ENSDARG00000100479,2.62,0.32,0.785,1.1,0.147,0.138
ENSDARG00000100480,0.586,0.385,0.807,0.447,0.298,0.133
ENSDARG00000100481,0.408,0.0605,0.281,0.215,0.0249,0.0524
ENSDARG00000100482,0.0967,0.0152,0.385,0.027,0.0115,0.0782
ENSDARG00000100483,0.0466,0.133,1.72,0.0725,0.155,0.268
ENSDARG00000100484,0.0194,0.166,0.361,0.0184,0.167,0.0655
ENSDARG00000100486,0.0187,0.0139,0.185,0.00749,0.02,0.0447
ENSDARG00000100487,4.18,0.256,0.667,3.1,0.198,0.117
ENSDARG00000100494,0.931,0.143,1.05,0.773,0.172,0.17
ENSDARG00000100497,0.777,0.0606,0.575,0.597,0.0336,0.0973
ENSDARG00000100498,0.0368,0.0304,0.31,0.0316,0.0622,0.0731
ENSDARG00000100499,2.49,0.172,0.648,1.75,0.114,0.107
ENSDARG00000100503,31.0,0.622,0.465,13.3,0.277,0.0913
ENSDARG00000100504,0.158,0.23,0.685,0.163,0.313,0.125
ENSDARG00000100505,5.39,0.132,0.994,5.09,0.11,0.169
ENSDARG00000100506,0.262,0.062,0.49,0.0785,0.0273,0.0842
ENSDARG00000100508,4.43,0.152,1.05,4.13,0.124,0.178
ENSDARG00000100509,1.68e-08,0.164,0.938,2.31e-08,0.209,0.146
ENSDARG00000100513,6.41,0.135,0.492,1.62,0.0459,0.086
ENSDARG00000100514,7.2,0.179,0.36,2.75,0.0829,0.0658
ENSDARG00000100515,15.6,0.318,0.318,3.76,0.0582,0.06
ENSDARG00000100518,0.112,0.126,0.429,0.0952,0.101,0.0754
ENSDARG00000100519,3.11,0.122,0.63,2.64,0.104,0.104
ENSDARG00000100524,2.14,0.152,0.491,1.47,0.0965,0.0844
ENSDARG00000100528,0.417,0.546,0.68,0.22,0.0477,0.12
ENSDARG00000100529,0.533,0.0425,0.475,0.128,0.0183,0.0832
ENSDARG00000100531,1.06,0.143,0.463,0.561,0.0893,0.0791
ENSDARG00000100534,0.244,0.0589,0.375,0.109,0.0403,0.0682
ENSDARG00000100535,0.0184,0.183,0.388,0.0189,0.178,0.0689
ENSDARG00000100536,13.9,0.377,0.868,7.36,0.203,0.163
ENSDARG00000100538,0.23,0.0458,0.54,0.0741,0.025,0.0931
ENSDARG00000100539,0.0431,0.0877,0.67,0.0366,0.0468,0.111
ENSDARG00000100544,0.429,0.197,0.405,0.367,0.164,0.0735
ENSDARG00000100548,2.61,0.492,0.451,1.4,0.278,0.0895
ENSDARG00000100549,5.9,0.432,0.671,3.26,0.254,0.121
ENSDARG00000100552,1.95,0.267,0.433,1.24,0.179,0.082
ENSDARG00000100553,1.56,0.041,0.166,0.443,0.00685,0.0339
ENSDARG00000100555,0.611,0.0552,0.457,0.142,0.0211,0.0805
