GeneID,beta_mean,delta_m_mean,delta_z_mean,sigma_y_mean,t_zga_mean,beta_std,delta_m_std,delta_z_std,sigma_y_std,t_zga_std
ENSDARG00000002600,0.702,1.55,0.0697,0.294,44.0,0.362,0.808,0.0441,0.0592,5.61
ENSDARG00000002601,1.52,1.59,0.112,1.62,1.07,0.707,0.834,0.0651,0.279,0.634
ENSDARG00000002607,0.215,1.45,0.0573,0.175,18.6,0.0856,0.766,0.028,0.0382,3.01
ENSDARG00000002609,1.27,1.57,0.189,0.53,0.736,0.424,0.82,0.0756,0.0997,0.466
ENSDARG00000002613,7.72,0.667,0.118,0.639,1.98,2.89,0.224,0.0473,0.117,1.43
ENSDARG00000002632,15.8,1.48,0.191,0.339,0.483,4.48,0.777,0.0678,0.0665,0.278
ENSDARG00000002634,1.93,1.58,0.211,0.617,2.32,0.851,0.849,0.104,0.114,0.835
ENSDARG00000002635,0.245,1.87,0.0477,0.276,22.4,0.0496,0.205,0.0374,0.148,11.3
ENSDARG00000002642,3.34,1.55,0.218,0.255,1.29,0.897,0.586,0.0636,0.0523,0.781
ENSDARG00000002644,1.87,1.51,0.528,0.8,4.74,0.835,0.0432,0.377,0.0419,3.92
ENSDARG00000002656,0.541,1.39,0.0821,0.462,22.6,0.317,0.72,0.0658,0.0895,6.58
ENSDARG00000002659,24.0,0.907,0.158,0.813,0.999,10.1,0.555,0.0718,0.16,0.646
ENSDARG00000002663,1.72,1.42,0.15,0.31,6.38,0.606,0.357,0.0602,0.0629,0.814
ENSDARG00000002666,0.348,0.575,0.143,0.642,1.93,0.169,0.264,0.0824,0.118,1.86
ENSDARG00000002670,3.06,1.1,0.211,0.318,1.68,1.06,0.252,0.0772,0.0648,1.06
ENSDARG00000002682,1.82,1.53,0.271,0.711,0.784,0.851,0.817,0.151,0.127,0.485
ENSDARG00000002685,0.0111,1.14,0.142,0.268,3.94,0.00552,0.0653,0.142,0.0503,4.58
ENSDARG00000002690,4.88,1.39,0.209,0.336,0.745,1.4,0.694,0.0688,0.0696,0.435
ENSDARG00000002696,57.9,0.658,0.108,0.452,55.2,25.7,0.399,0.0623,0.0894,5.17
ENSDARG00000002701,0.171,1.57,0.0982,0.394,8.91,0.0894,0.0988,0.0792,0.062,5.32
ENSDARG00000002707,0.0137,1.18,0.587,1.75,3.83,0.00639,0.787,0.779,0.237,4.45
ENSDARG00000002710,76.6,1.36,0.142,1.18,0.931,33.6,0.765,0.0693,0.223,0.575
ENSDARG00000002720,4.4,1.22,0.141,1.03,1.02,1.89,0.718,0.0656,0.198,0.652
ENSDARG00000002731,10.5,1.53,0.186,0.33,0.661,3.03,0.801,0.0677,0.0621,0.333
ENSDARG00000002732,0.702,1.63,0.0785,0.565,17.6,0.368,0.133,0.0329,0.126,10.4
ENSDARG00000002745,27.8,1.61,0.303,0.463,0.465,9.09,0.838,0.119,0.0883,0.236
ENSDARG00000002748,1.93,1.2,0.257,0.477,0.888,0.765,0.601,0.113,0.0909,0.565
ENSDARG00000002750,1.28,1.34,0.24,0.506,0.688,0.566,0.73,0.115,0.11,0.422
ENSDARG00000002754,1.67,1.39,0.474,0.755,1.39,0.646,0.931,0.588,0.129,1.25
ENSDARG00000002758,11.1,1.45,0.193,0.516,2.26,4.81,0.794,0.102,0.0887,1.12
ENSDARG00000002760,0.269,1.22,0.126,0.464,36.2,0.133,0.492,0.112,0.0959,12.9
ENSDARG00000002764,0.684,1.87,0.0567,0.442,14.3,0.305,0.221,0.0468,0.0701,2.56
ENSDARG00000002768,795.0,0.465,0.0756,0.831,19.1,438.0,0.339,0.0673,0.225,0.758
ENSDARG00000002771,0.436,1.43,0.145,0.149,51.6,0.172,0.772,0.0602,0.0324,3.97
ENSDARG00000002779,1.07,1.14,0.439,0.597,1.08,0.589,0.668,0.306,0.103,0.578
ENSDARG00000002787,6.38,1.66,0.17,0.479,1.5,2.04,0.584,0.0597,0.0937,0.927
ENSDARG00000002790,17.4,1.61,0.106,0.301,0.472,3.15,0.835,0.0282,0.0582,0.155
ENSDARG00000002791,63.9,0.621,0.306,0.361,0.876,23.5,0.362,0.115,0.0793,0.52
ENSDARG00000002792,7.06,0.742,0.179,0.68,1.0,3.02,0.418,0.0815,0.137,0.665
ENSDARG00000002795,3.47,1.59,0.109,0.756,3.31,1.4,0.85,0.0494,0.143,1.07
ENSDARG00000002798,2.08,1.15,0.231,0.596,0.79,0.907,0.636,0.108,0.122,0.497
ENSDARG00000002816,0.0455,1.55,0.0877,0.189,33.5,0.0115,0.0646,0.0743,0.143,25.9
ENSDARG00000002826,1.97,1.73,0.139,0.627,1.47,0.76,0.696,0.0571,0.123,0.993
ENSDARG00000002830,0.869,0.975,0.12,0.701,1.94,0.335,0.37,0.0549,0.123,1.44
ENSDARG00000002831,0.177,1.31,0.0913,0.365,6.41,0.0839,0.68,0.0455,0.0699,4.22
ENSDARG00000002840,1.03,1.37,0.0722,0.477,1.17,0.429,0.699,0.0493,0.0936,0.757
ENSDARG00000002847,0.162,1.11,0.0869,0.3,11.7,0.0854,0.634,0.0568,0.0628,6.51
ENSDARG00000002872,1.42,1.35,0.246,0.315,0.931,0.496,0.874,0.0918,0.0661,0.543
ENSDARG00000002877,1.8,0.939,0.17,0.468,1.33,0.704,0.366,0.074,0.0866,0.989
ENSDARG00000002880,0.912,1.36,0.109,0.737,3.06,0.42,0.682,0.0706,0.121,2.68
ENSDARG00000002894,2.49,0.975,0.171,0.753,0.979,1.08,0.562,0.0796,0.15,0.627
ENSDARG00000002897,0.727,1.58,0.183,0.447,0.764,0.293,0.837,0.0941,0.0833,0.485
ENSDARG00000002909,2.95,0.454,0.13,0.286,3.12,1.13,0.0592,0.0555,0.0569,2.66
ENSDARG00000002912,4.23,1.45,0.171,0.372,1.28,1.53,0.519,0.072,0.0699,0.884
ENSDARG00000002916,1.74,1.12,0.209,0.813,0.938,0.806,0.637,0.104,0.156,0.608
ENSDARG00000002917,0.262,1.65,0.0609,0.365,31.2,0.0925,0.248,0.0286,0.0386,17.5
ENSDARG00000002933,1.01,1.58,0.0935,0.759,2.69,0.452,0.842,0.0519,0.126,2.25
ENSDARG00000002937,3.97,1.52,0.0864,0.574,3.26,1.19,0.803,0.0332,0.1,0.959
ENSDARG00000002945,0.537,1.22,0.22,0.549,5.34,0.295,0.7,0.163,0.1,9.03
ENSDARG00000002947,1.6,1.22,0.295,0.446,0.767,0.654,0.641,0.131,0.09,0.464
ENSDARG00000002949,15.9,0.455,0.2,0.289,1.48,5.74,0.207,0.0719,0.0622,1.15
ENSDARG00000002952,2.77,1.6,0.131,0.833,0.953,0.94,0.857,0.0531,0.158,0.523
ENSDARG00000002956,0.097,1.31,0.615,0.362,3.67,0.0496,0.345,0.811,0.112,4.3
ENSDARG00000002967,4.63,1.03,0.168,0.254,1.66,1.72,0.277,0.0711,0.0499,1.06
ENSDARG00000002968,2.42,1.59,0.273,0.86,3.18,1.17,0.839,0.157,0.145,1.0
ENSDARG00000002970,21.5,1.22,0.189,0.791,0.827,8.46,0.705,0.0811,0.164,0.505
ENSDARG00000002971,2.77,1.2,0.17,0.789,0.858,1.19,0.688,0.078,0.165,0.547
ENSDARG00000002986,1.0,1.67,0.0656,0.357,70.7,0.436,0.809,0.0423,0.0699,5.13
ENSDARG00000002988,18.8,1.73,0.106,0.405,17.0,3.8,0.0954,0.0304,0.0389,8.43
ENSDARG00000002991,1.09,1.26,0.155,0.537,1.6,0.437,0.535,0.0645,0.103,1.1
ENSDARG00000002994,1.59,1.13,0.122,0.402,2.08,0.617,0.27,0.0598,0.0735,1.45
ENSDARG00000003008,0.584,1.63,0.053,0.296,0.924,0.142,0.854,0.0204,0.0633,0.587
ENSDARG00000003017,13.7,0.528,0.424,0.46,1.43,11.3,0.203,0.439,0.0885,0.885
ENSDARG00000003020,0.378,1.83,0.0499,0.303,21.2,0.138,0.181,0.025,0.0111,6.91
ENSDARG00000003021,2.1,0.363,0.16,0.283,2.16,0.727,0.0895,0.0575,0.0595,1.54
ENSDARG00000003022,0.331,1.59,0.09,0.263,1.99,0.0919,0.834,0.0309,0.0497,0.991
ENSDARG00000003027,1.31,1.2,0.394,1.19,0.994,0.687,0.667,0.422,0.174,0.801
ENSDARG00000003032,9.94,1.01,0.0319,0.321,1.75,2.32,0.447,0.0146,0.0686,0.909
ENSDARG00000003035,31.3,1.12,0.442,0.452,0.567,14.4,0.781,0.222,0.125,0.282
ENSDARG00000003041,0.339,1.12,0.12,0.363,2.03,0.124,0.319,0.0535,0.068,1.44
ENSDARG00000003046,0.258,1.22,0.121,0.423,1.98,0.127,0.567,0.0804,0.0765,1.93
ENSDARG00000003058,5.32,2.05,0.151,0.596,2.29,2.01,1.09,0.0643,0.111,1.06
ENSDARG00000003061,2.79,1.56,0.104,0.605,1.42,0.794,0.813,0.0377,0.106,0.783
ENSDARG00000003068,3.58,0.946,0.256,0.401,0.771,1.23,0.52,0.093,0.0871,0.49
ENSDARG00000003069,0.234,1.15,0.151,0.689,1.87,0.114,0.601,0.0952,0.117,1.94
ENSDARG00000003077,1.41,1.56,0.0806,0.377,26.2,0.626,0.842,0.0446,0.0696,2.29
ENSDARG00000003081,70.2,1.41,0.0575,0.746,9.04,31.6,0.792,0.0429,0.137,0.754
ENSDARG00000003084,0.195,1.26,0.477,1.08,2.21,0.0841,0.704,0.518,0.149,3.63
ENSDARG00000003085,1.28,1.31,0.26,0.458,0.747,0.484,0.701,0.107,0.0962,0.481
ENSDARG00000003087,2.76,1.44,0.224,0.532,0.803,1.2,0.727,0.114,0.099,0.516
ENSDARG00000003091,2.24,0.733,0.151,0.434,2.2,0.937,0.161,0.0693,0.0791,1.56
ENSDARG00000003098,18.7,1.47,0.328,0.213,1.07,4.17,0.787,0.081,0.0488,0.259
ENSDARG00000003109,6.77,1.34,0.206,0.409,0.767,2.17,0.656,0.0773,0.0791,0.486
ENSDARG00000003113,7.62,1.69,0.0806,0.487,17.6,3.96,0.18,0.049,0.0891,14.4
ENSDARG00000003127,10.7,0.219,0.209,0.213,1.33,3.88,0.145,0.0727,0.0612,0.836
ENSDARG00000003132,10.0,1.58,0.145,0.48,1.54,2.53,0.851,0.0445,0.0902,0.446
ENSDARG00000003142,0.723,2.26,0.0918,0.457,5.4,0.315,0.793,0.0536,0.0859,1.5
ENSDARG00000003144,1.89,0.695,0.368,0.779,1.9,1.09,0.357,0.282,0.127,1.21
ENSDARG00000003146,0.267,1.58,0.0768,0.332,27.7,0.0781,0.0906,0.0393,0.263,14.9
ENSDARG00000003151,55.9,0.729,0.169,0.436,1.99,19.8,0.329,0.0644,0.0848,1.18
ENSDARG00000003153,15.2,0.738,0.16,0.731,1.09,6.24,0.48,0.0687,0.154,0.694
ENSDARG00000003157,1.02,1.36,0.263,0.207,0.983,0.306,0.59,0.0826,0.0468,0.574
ENSDARG00000003165,6.96,1.59,0.148,0.513,4.12,2.1,0.858,0.0518,0.103,0.397
ENSDARG00000003167,3.31,0.786,0.222,0.487,0.887,1.36,0.388,0.0968,0.102,0.56
ENSDARG00000003169,17.9,0.952,0.283,0.569,0.972,6.98,0.588,0.118,0.111,0.551
ENSDARG00000003175,3.66,1.19,0.189,0.418,0.891,1.2,0.543,0.0709,0.0816,0.53
ENSDARG00000003181,0.479,1.62,0.0917,0.351,15.4,0.202,0.0965,0.028,0.0438,0.625
ENSDARG00000003189,25.0,1.51,0.218,0.373,0.664,6.25,0.829,0.0634,0.0762,0.336
ENSDARG00000003193,3.08,1.54,0.189,1.0,1.53,1.36,0.824,0.0974,0.171,0.733
ENSDARG00000003197,0.532,1.11,0.147,0.943,1.38,0.256,0.598,0.0859,0.161,1.12
ENSDARG00000003200,1.42,1.25,0.108,1.12,1.1,0.648,0.697,0.0556,0.206,0.747
ENSDARG00000003203,7.55,1.53,0.111,0.488,54.4,3.48,0.833,0.0635,0.0832,5.18
ENSDARG00000003205,1.61,0.189,0.149,0.253,2.72,0.652,0.0749,0.0599,0.062,1.72
ENSDARG00000003206,4.85,1.3,0.393,1.22,0.798,2.15,0.813,0.268,0.221,0.433
ENSDARG00000003207,4.45,1.42,0.346,0.498,0.609,1.73,0.763,0.141,0.113,0.343
ENSDARG00000003208,0.699,1.63,0.201,0.162,0.805,0.14,0.856,0.0461,0.034,0.392
ENSDARG00000003210,0.588,1.51,0.134,0.285,35.3,0.246,0.0866,0.121,0.266,17.1
ENSDARG00000003213,8.58,0.24,0.164,0.38,1.37,3.52,0.127,0.0662,0.0968,1.04
ENSDARG00000003216,17.0,1.57,0.204,0.378,7.49,7.37,0.826,0.0995,0.0802,0.434
ENSDARG00000003217,0.807,0.615,0.12,0.796,1.74,0.357,0.358,0.0559,0.156,1.38
ENSDARG00000003219,9.51,1.34,0.894,0.904,2.16,8.28,0.652,0.723,0.169,0.8
ENSDARG00000003229,0.00287,0.843,1.07,0.51,4.11,0.000681,0.182,0.539,0.0728,3.8
ENSDARG00000003235,2.85,0.449,0.152,0.656,1.3,1.24,0.315,0.0664,0.149,0.927
ENSDARG00000003244,0.254,1.11,0.113,0.933,1.87,0.119,0.575,0.0679,0.156,1.6
ENSDARG00000003250,0.156,1.51,0.2,0.54,11.3,0.0778,0.449,0.16,0.0949,12.6
ENSDARG00000003251,0.475,1.35,0.153,0.986,1.32,0.235,0.717,0.0934,0.167,1.23
ENSDARG00000003257,1.32,1.37,0.259,0.287,1.77,0.455,0.812,0.095,0.0643,0.722
ENSDARG00000003259,0.743,1.52,0.0964,0.237,35.7,0.352,0.0285,0.0298,0.18,19.3
ENSDARG00000003269,14.5,0.896,0.577,0.383,0.423,5.37,0.62,0.232,0.0935,0.24
ENSDARG00000003270,3.48,0.799,0.196,0.741,1.06,1.56,0.451,0.0945,0.139,0.712
ENSDARG00000003281,3.83,1.56,0.259,0.58,1.87,1.53,0.845,0.117,0.103,0.765
ENSDARG00000003287,4.15,1.39,0.148,1.02,0.87,1.8,0.767,0.071,0.197,0.551
ENSDARG00000003290,0.158,1.56,0.0718,0.251,9.63,0.0639,0.0819,0.0391,0.124,5.35
ENSDARG00000003293,2.04,1.63,0.0795,0.441,3.25,0.689,0.0426,0.042,0.0721,1.25
ENSDARG00000003307,3.36,1.46,0.252,0.577,0.634,1.39,0.801,0.113,0.125,0.411
ENSDARG00000003308,12.1,1.32,0.151,0.382,0.827,3.27,0.645,0.0501,0.0731,0.459
ENSDARG00000003311,2.63,1.78,0.146,0.429,3.07,1.13,0.916,0.0773,0.0774,1.02
ENSDARG00000003313,0.806,1.59,0.171,1.19,1.31,0.368,0.841,0.0984,0.196,0.808
ENSDARG00000003320,2.19,1.33,0.229,0.549,0.857,1.02,0.672,0.125,0.0999,0.528
ENSDARG00000003326,0.342,1.66,0.149,0.423,30.3,0.257,0.145,0.0894,0.156,21.2
ENSDARG00000003328,0.428,1.17,0.132,0.626,1.75,0.179,0.505,0.0692,0.108,1.38
ENSDARG00000003373,9.91,1.54,0.283,0.38,0.759,2.61,0.816,0.0832,0.0807,0.301
ENSDARG00000003375,2.54,1.56,0.117,0.324,3.82,0.711,0.838,0.0392,0.0632,0.611
ENSDARG00000003380,0.0792,1.5,0.184,0.31,4.97,0.0388,0.826,0.129,0.0564,6.97
ENSDARG00000003381,0.283,1.34,0.0876,0.355,12.2,0.136,0.263,0.0506,0.0688,4.26
ENSDARG00000003382,4.43,0.235,0.164,0.256,2.03,1.71,0.0893,0.0613,0.0596,1.75
ENSDARG00000003383,0.75,1.65,0.0349,0.346,4.99,0.313,0.222,0.0277,0.0797,1.61
ENSDARG00000003395,0.185,1.56,0.0965,0.583,3.6,0.0787,0.828,0.0577,0.0984,3.52
ENSDARG00000003398,1.57,0.482,0.134,0.554,1.52,0.646,0.237,0.0588,0.113,1.18
ENSDARG00000003399,0.992,1.59,0.105,1.36,1.23,0.459,0.848,0.0572,0.24,0.796
ENSDARG00000003403,0.37,1.54,0.0889,0.455,17.4,0.229,0.813,0.0853,0.091,8.78
ENSDARG00000003411,1.87,1.57,0.136,0.995,1.55,0.71,0.0415,0.0844,0.221,0.538
ENSDARG00000003414,0.225,1.55,0.13,0.172,7.81,0.0788,0.0468,0.0502,0.0303,2.75
ENSDARG00000003420,0.259,1.56,0.0439,0.335,3.37,0.109,0.882,0.029,0.0729,2.11
ENSDARG00000003421,0.361,1.41,0.0667,0.406,9.04,0.232,0.304,0.061,0.0912,4.94
ENSDARG00000003429,72.5,1.15,0.28,0.276,0.58,17.4,0.669,0.0741,0.0603,0.388
ENSDARG00000003444,1.1,1.6,0.0705,0.417,1.18,0.301,0.862,0.03,0.0784,0.537
ENSDARG00000003446,1.19,0.602,0.166,0.43,1.28,0.507,0.252,0.0761,0.0851,0.996
ENSDARG00000003449,0.256,1.32,0.235,0.738,2.12,0.131,0.708,0.153,0.125,3.72
ENSDARG00000003462,0.136,0.752,0.0984,0.525,2.56,0.0573,0.234,0.0514,0.0955,2.18
ENSDARG00000003469,4.76,1.59,0.102,0.437,8.37,1.36,0.84,0.0366,0.0814,0.488
ENSDARG00000003475,0.139,1.96,0.0411,0.167,23.3,0.102,0.181,0.0373,0.0535,1.14
ENSDARG00000003486,8.25,0.339,0.143,0.42,2.42,3.31,0.146,0.0583,0.0888,1.68
ENSDARG00000003487,6.68,0.547,0.16,0.473,1.73,2.72,0.424,0.0609,0.13,1.21
ENSDARG00000003495,3.0,1.58,0.164,0.777,0.92,1.44,0.834,0.113,0.132,0.558
ENSDARG00000003512,0.739,1.43,0.0368,0.375,9.58,0.408,0.786,0.0345,0.0906,2.82
ENSDARG00000003517,2.25,1.62,0.138,0.452,0.521,0.742,0.842,0.0638,0.084,0.32
ENSDARG00000003519,4.34,1.54,0.283,0.429,0.463,1.37,0.798,0.103,0.0939,0.267
ENSDARG00000003520,0.571,1.4,0.167,0.754,2.42,0.269,0.668,0.107,0.123,2.16
ENSDARG00000003523,0.5,0.851,0.246,0.48,40.7,0.211,0.641,0.233,0.125,23.1
ENSDARG00000003526,37.8,1.3,0.192,0.563,0.888,12.1,0.726,0.0686,0.114,0.475
ENSDARG00000003527,11.3,1.42,0.171,0.796,0.916,4.04,0.797,0.0684,0.154,0.55
ENSDARG00000003531,8.64,0.276,0.128,0.641,1.68,3.83,0.155,0.0579,0.147,1.31
ENSDARG00000003533,0.24,1.44,0.0886,0.237,37.4,0.0348,0.0522,0.0256,0.266,19.9
ENSDARG00000003544,0.21,0.885,0.076,0.227,3.81,0.0919,0.0782,0.0438,0.0475,2.35
ENSDARG00000003564,10.2,1.59,0.211,0.703,0.768,3.51,0.851,0.0815,0.144,0.322
ENSDARG00000003570,15.1,1.31,0.175,0.823,0.982,7.1,0.694,0.105,0.139,0.635
ENSDARG00000003573,3.78,1.6,0.142,0.552,0.56,1.29,0.837,0.0672,0.0983,0.339
ENSDARG00000003576,0.167,1.56,0.0244,0.203,15.5,0.0746,0.736,0.019,0.0545,3.21
ENSDARG00000003584,0.996,1.77,0.0711,0.235,3.84,0.348,0.393,0.0333,0.0482,1.23
ENSDARG00000003592,2.8,1.6,0.18,0.312,0.945,0.687,0.893,0.0519,0.0604,0.569
ENSDARG00000003599,450.0,1.48,0.163,0.273,2.77,97.8,0.778,0.0413,0.0568,0.395
ENSDARG00000003607,8.12,1.53,0.187,0.657,0.668,2.61,0.814,0.0682,0.137,0.372
ENSDARG00000003615,1.69,1.28,0.111,0.388,54.0,0.853,0.328,0.0388,0.523,28.9
ENSDARG00000003616,3.66,0.301,0.333,0.191,0.96,2.42,0.0727,0.239,0.0407,0.821
ENSDARG00000003631,2.28,1.41,0.219,0.525,1.49,0.958,0.654,0.105,0.0919,1.06
ENSDARG00000003632,0.297,1.68,0.0838,0.267,18.1,0.0223,0.0644,0.0228,0.243,8.41
ENSDARG00000003635,1.1,1.6,0.112,0.417,1.26,0.348,0.866,0.0451,0.0762,0.726
ENSDARG00000003641,20.0,0.295,0.197,0.262,1.31,7.52,0.175,0.0704,0.0679,0.856
ENSDARG00000003642,8.65,0.977,0.469,0.33,0.725,4.29,0.547,0.247,0.0927,0.356
ENSDARG00000003655,1.73,0.453,0.023,0.275,13.6,0.458,0.0411,0.0126,0.0678,1.09
ENSDARG00000003675,2.76,1.36,0.233,0.612,0.784,1.16,0.722,0.116,0.114,0.491
ENSDARG00000003680,1.08,1.17,0.0484,0.422,8.75,0.468,0.533,0.0336,0.0857,1.82
ENSDARG00000003681,42.4,0.62,0.198,0.44,1.39,15.1,0.476,0.0701,0.106,0.857
ENSDARG00000003684,0.61,1.58,0.116,0.444,7.22,0.228,0.858,0.0465,0.0882,1.76
ENSDARG00000003693,10.4,0.185,0.161,0.206,2.84,5.27,0.218,0.0623,0.113,1.98
ENSDARG00000003695,26.7,1.09,0.0637,0.457,1.38,8.52,0.583,0.0319,0.0867,0.728
ENSDARG00000003697,0.195,1.6,0.108,0.266,24.8,0.165,0.107,0.0687,0.12,15.9
ENSDARG00000003699,0.889,1.21,0.163,0.456,1.13,0.347,0.526,0.0751,0.0847,0.813
ENSDARG00000003701,0.339,2.15,0.121,0.672,1.86,0.145,0.281,0.0573,0.125,1.34
ENSDARG00000003705,1.16,0.576,0.0248,0.251,7.06,0.276,0.253,0.0117,0.0634,1.13
ENSDARG00000003732,0.54,1.53,0.0805,0.574,6.25,0.213,0.818,0.0363,0.102,2.66
ENSDARG00000003749,8.23,1.21,0.159,0.852,0.86,3.44,0.695,0.0728,0.171,0.538
ENSDARG00000003750,3.35,1.32,0.166,0.715,0.877,1.27,0.744,0.0697,0.145,0.534
ENSDARG00000003751,0.915,1.02,0.162,0.263,1.39,0.33,0.243,0.066,0.0514,1.03
ENSDARG00000003754,1.31,1.05,0.074,0.466,3.13,0.719,0.559,0.0525,0.0908,2.53
ENSDARG00000003757,4.12,1.87,0.198,0.26,1.78,1.28,0.321,0.0679,0.0528,1.02
ENSDARG00000003769,0.754,0.792,0.155,0.611,1.22,0.329,0.429,0.0735,0.117,0.884
ENSDARG00000003776,1.01,1.5,0.0858,0.175,4.88,0.273,0.175,0.0284,0.038,1.16
ENSDARG00000003779,3.26,1.33,0.142,0.458,6.41,1.34,0.732,0.0634,0.0905,1.1
ENSDARG00000003789,7.04,1.21,0.268,0.7,0.757,3.02,0.669,0.124,0.143,0.446
ENSDARG00000003795,62.1,1.58,0.0813,0.302,0.565,12.0,0.836,0.0257,0.0594,0.183
ENSDARG00000003797,0.957,1.71,0.159,0.139,21.2,0.334,0.0511,0.057,0.0263,1.5
ENSDARG00000003803,0.345,1.62,0.0697,0.249,16.4,0.0948,0.0353,0.0154,0.0347,4.04
ENSDARG00000003808,8.58,1.3,0.311,1.14,3.73,4.0,0.867,0.262,0.18,2.17
ENSDARG00000003811,5.36,1.25,0.239,0.68,0.776,2.35,0.663,0.115,0.133,0.476
ENSDARG00000003818,2.76,1.76,0.152,0.405,2.89,0.907,0.803,0.0576,0.0773,1.02
ENSDARG00000003820,4.54,1.57,0.0811,0.574,32.8,2.38,0.842,0.0632,0.104,2.42
ENSDARG00000003822,0.781,1.57,0.276,0.273,0.827,0.229,0.836,0.09,0.058,0.396
ENSDARG00000003827,1.52,1.29,0.13,1.16,1.04,0.725,0.727,0.0693,0.209,0.71
ENSDARG00000003829,3.61,1.14,0.185,0.291,1.42,1.03,0.341,0.0589,0.0577,0.889
ENSDARG00000003835,10.6,1.69,0.176,0.433,2.33,3.79,0.909,0.0704,0.0838,0.74
ENSDARG00000003841,0.522,1.61,0.128,0.341,0.83,0.144,0.827,0.0461,0.0641,0.541
ENSDARG00000003845,2.49,0.85,0.175,0.714,1.11,1.16,0.457,0.0923,0.132,0.773
ENSDARG00000003846,9.72,1.42,0.219,0.43,1.02,2.84,0.833,0.0721,0.0834,0.56
ENSDARG00000003854,3.47,1.61,0.164,0.438,0.879,0.926,0.829,0.0541,0.0817,0.415
ENSDARG00000003860,11.5,0.0664,0.128,0.229,3.38,5.18,0.0128,0.0574,0.0578,3.38
ENSDARG00000003865,0.747,1.48,0.376,0.553,0.794,0.359,0.823,0.33,0.129,0.491
ENSDARG00000003866,22.1,0.764,0.289,0.32,1.25,6.89,0.554,0.0949,0.0758,0.6
ENSDARG00000003867,0.231,1.15,0.0807,0.253,2.27,0.0861,0.553,0.0395,0.0512,1.45
ENSDARG00000003869,3.69,1.68,0.153,0.334,2.12,1.18,0.522,0.0573,0.0628,1.11
ENSDARG00000003872,1.69,1.37,0.119,0.374,3.5,0.676,0.338,0.0539,0.0717,1.85
ENSDARG00000003877,0.358,1.45,0.0842,0.489,11.0,0.191,0.765,0.0675,0.0935,6.53
ENSDARG00000003899,0.522,1.44,0.198,0.659,0.958,0.241,0.785,0.0981,0.131,0.703
ENSDARG00000003900,0.0833,1.36,0.161,0.336,1.66,0.0377,0.719,0.0862,0.0642,1.55
ENSDARG00000003902,10.7,1.64,0.166,1.15,54.4,1.84,0.0745,0.145,0.711,28.1
ENSDARG00000003903,0.0802,1.51,0.136,0.261,7.52,0.0315,0.0818,0.043,0.036,6.96
ENSDARG00000003904,0.0269,1.22,0.534,0.936,3.91,0.0135,0.549,0.652,0.134,5.39
ENSDARG00000003909,0.17,1.5,0.0725,0.195,49.7,0.0753,0.0343,0.0262,0.0858,27.3
ENSDARG00000003910,2.05,0.829,0.189,0.356,1.63,0.797,0.297,0.075,0.0701,1.15
ENSDARG00000003920,59.5,0.738,0.138,0.831,1.23,24.7,0.506,0.0603,0.166,0.793
ENSDARG00000003925,0.222,1.51,0.171,0.337,5.58,0.0702,0.0949,0.099,0.0891,3.11
ENSDARG00000003927,4.54,1.15,0.183,0.414,1.47,1.5,0.51,0.0646,0.0821,0.945
ENSDARG00000003931,13.0,0.852,0.59,0.87,0.934,5.32,0.624,0.343,0.146,0.611
ENSDARG00000003934,1.17,0.993,0.198,0.55,1.49,0.552,0.453,0.108,0.0975,1.15
ENSDARG00000003938,10.1,1.44,0.122,0.754,1.68,3.72,0.698,0.0506,0.135,1.1
ENSDARG00000003940,9.81,1.34,0.201,0.486,1.04,2.92,0.788,0.0664,0.0969,0.567
ENSDARG00000003941,4.18,0.707,0.136,0.818,1.28,1.75,0.493,0.0605,0.165,0.845
ENSDARG00000003952,50.3,1.23,0.172,0.591,0.838,21.1,0.615,0.0882,0.107,0.526
ENSDARG00000003961,0.719,2.06,0.12,0.35,2.8,0.295,0.831,0.0592,0.0645,1.35
ENSDARG00000003963,3.43,1.16,0.181,0.229,5.5,0.848,0.274,0.0502,0.0512,0.454
ENSDARG00000003965,0.145,1.58,0.0983,0.271,6.07,0.0546,0.828,0.0414,0.0541,2.6
ENSDARG00000003968,0.0165,0.732,0.557,0.615,6.8,0.0077,0.141,0.53,0.0905,6.62
ENSDARG00000003970,0.28,1.69,0.0716,0.296,18.7,0.103,0.214,0.0414,0.246,8.92
ENSDARG00000003971,3.16,1.56,0.142,0.286,6.7,1.27,0.0356,0.0562,0.0675,0.824
ENSDARG00000003973,0.771,1.05,0.182,0.363,1.74,0.333,0.308,0.0855,0.0679,1.23
ENSDARG00000003974,5.76,1.42,0.222,0.666,0.705,2.3,0.781,0.0961,0.143,0.396
ENSDARG00000003977,0.299,1.58,0.253,0.498,2.84,0.144,0.833,0.155,0.0864,4.59
ENSDARG00000003984,1.76,1.47,0.214,0.846,0.749,0.796,0.807,0.103,0.173,0.464
ENSDARG00000003989,0.119,1.55,0.08,0.208,44.2,0.0652,0.824,0.0603,0.0472,13.9
ENSDARG00000003991,0.732,1.52,0.0951,0.331,32.9,0.292,0.0489,0.0191,0.22,13.9
ENSDARG00000003994,0.328,1.72,0.0682,0.302,12.5,0.0392,0.139,0.0299,0.194,5.21
ENSDARG00000003998,0.215,1.58,0.0414,0.173,29.8,0.108,0.844,0.0289,0.0404,3.07
ENSDARG00000004015,0.388,1.5,0.103,0.496,13.3,0.182,0.0444,0.0322,0.133,19.2
